run_id,model,domain,task_type,difficulty,n,n_samples,n_needs_review,n_excluded_from_main,n_samples_unscored,n_items_unscored,mean_score,mean_score_incl_review,small_cell,ci_method,ci_low,ci_high,t2_judgment_accuracy,t2_verdict_ci_low,t2_verdict_ci_high,t4_pass_at_1,diagnostic_functional_threshold_rate,t4_performance_pass_rate,judge_mean_score_range,paper_eligible
midtier-20260828-v1,DeepSeek-V3,D6,T1,Expert,10,10,0,0,0,0,1.0,1.0,False,wilson,0.7224672001371218,0.9999999999999999,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D6,T1,Intermediate,12,12,0,0,0,0,1.0,1.0,False,wilson,0.7575059933447693,1.0,,,,,,,,True
midtier-20260828-v1,DeepSeek-V3,D6,T2,Expert,1,1,0,0,0,0,0.875,0.875,True,none (n<2),,,1.0,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D6,T2,Intermediate,7,7,0,0,0,0,0.5357142857142857,0.5357142857142857,False,item-cluster bootstrap B=20000 seed=20260805,0.4107142857142857,0.6785714285714286,1.0,0.6456695649333253,1.0,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D6,T3,Expert,4,4,0,0,0,0,0.95,0.95,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D6,T3,Intermediate,4,4,0,0,0,0,0.825,0.825,True,"none (descriptive, n<5)",,,,,,,,,0.0,True
midtier-20260828-v1,DeepSeek-V3,D6,T4,Intermediate,4,4,0,0,0,0,1.0,1.0,True,wilson,0.5101091635454165,1.0,,,,1.0,1.0,1.0,,True
midtier-20260828-v1,GLM-4-32B,D1,T1,Basic,15,15,0,0,0,0,0.8666666666666667,0.8666666666666667,False,wilson,0.6211801716767842,0.9626387408969335,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D1,T1,Expert,7,7,0,0,0,0,0.7142857142857143,0.7142857142857143,False,wilson,0.3589344518326274,0.9177810759959406,,,,,,,,True
midtier-20260828-v1,GLM-4-32B,D1,T1,Intermediate,20,20,0,0,0,0,0.95,0.95,False,wilson,0.7638688065532648,0.9911185511992042,,,,,,,,True
